Model,Model_Dimension,Threshold (%),Dimension (d),Normalized (d/D)
ViT-Large,1024,50,512,0.500000
ViT-Large,1024,60,613,0.598633
ViT-Large,1024,70,717,0.700195
ViT-Large,1024,80,820,0.800781
ViT-Large,1024,90,921,0.899414
